区域,排名,代码,公司,市值(快照2026-06),币种,细分,阶段,代表产品,最近年营收,最近年净利润,市场判断,AI分级,AI应用简述,AI市值反馈
美股,1,LLY,礼来,~$1.0万亿,USD,大药企/GLP-1,成熟,Zepbound/Mounjaro,$65.2B(FY25),$20.6B,"GLP-1龙头,全球药企市值第一",L2,TuneLab AI平台+与Isomorphic合作(~$30亿里程碑),有
美股,2,JNJ,强生,~$567B,USD,大药企+器械,成熟,Darzalex/Stelara,$94.2B,$26.8B,"多元化巨头,防御性强",L2,AI分子结合预测+AI手术辅助,不明
美股,3,ABBV,艾伯维,~$375B,USD,大药企,成熟,Skyrizi/Rinvoq,$61.2B,$4.2B,双新药接棒Humira成功,L1,"主要靠BD,内部AI披露少",无
美股,4,MRK,默克,~$294B,USD,大药企,成熟,Keytruda/Gardasil,$64.5B,$17.1B,"K药依赖高,面临专利悬崖",L2,"AI卓越中心,靶点筛选试点",无
美股,5,NVS,诺华,~$291B,USD,大药企,成熟,Entresto/Cosentyx,~$52B,未披露,"专注创新药,管线稳健",L3,"与Isomorphic旗舰合作(近$30亿,扩至3项目)",有
美股,6,AZN,阿斯利康,~$284B,USD,大药企/肿瘤,成熟,Tagrisso/Imfinzi,$58.7B,$10.2B,"肿瘤管线深厚,AI布局激进",L3,"收购Modella AI+NVIDIA/IonQ量子,靶点设计提速>50%",有
美股,7,AMGN,安进,~$185B,USD,Biotech,成熟,Repatha/MariTide(在研减重),$36.8B,$7.7B,减重药MariTide关键催化,L2,与Generate Biomedicines生成式AI合作,不明
美股,8,TMO,赛默飞,~$184B,USD,工具/CXO,成熟,质谱/CDMO,$44.6B,~$6.5B,"工具龙头,CXO触底回升",L2,AI图像分析(Amira)赋能客户,无
美股,9,NVO,诺和诺德,~$170B,USD,大药企/GLP-1,成熟,Ozempic/Wegovy,$46.8B,~$15.2B,"GLP-1竞争加剧,年内大跌~39%",L1,"内部研发AI,披露少",无
美股,10,GILD,吉利德,~$163B,USD,Biotech/抗病毒,成熟,Biktarvy/Yeztugo,$29.4B,$6.3B,"HIV预防新药放量,估值修复",L2,病毒学AI+临床试验管理,不明
美股,11,ABT,雅培,~$159B,USD,器械/诊断,成熟,FreeStyle Libre(CGM),$44.3B,$6.5B,"CGM强劲,拟购Exact入局癌症诊断",L2,Libre Assist(AI预测血糖)+诊断AI,有
美股,12,PFE,辉瑞,~$150B,USD,大药企,成熟,Comirnaty/Eliquis,$63.6B,$8.0B,"后疫情转型,押注肿瘤/减重",L2,深度学习平台BIND建模蛋白折叠,无
美股,13,ISRG,直觉外科,~$144B,USD,器械/手术机器人,成熟,da Vinci 5,$10.1B,~$2.9B,"手术机器人绝对龙头,高估值高增长",L3,"da Vinci 5搭载AI,AI辅助手术/培训",有
美股,14,DHR,丹纳赫,~$122B,USD,工具/诊断/CXO,成熟,Cepheid分子诊断/Leica病理,$24.6B,$3.6B,"工具/诊断平台,业绩企稳",L2,联邦式AI:Cepheid/Leica AI诊断,不明
美股,15,SYK,Stryker,~$119B,USD,器械/骨科机器人,成熟,Mako手术机器人,$25.1B,$3.3B,"手术机器人放量,连续双位数增长",L3,Mako AI原生平台(术前CT+术中机械臂),有
美股,16,BMY,施贵宝,~$117B,USD,大药企,成熟,Opdivo/Eliquis/Cobenfy,$48.2B,$7.1B,"专利悬崖,Cobenfy新增长点",L2,AI预测优先级+Owkin/Schrödinger合作,不明
美股,17,VRTX,福泰,~$114B,USD,Biotech/罕见病,成熟,Trikafta/Casgevy,$12.0B,微利,CF独家+基因疗法+非阿片镇痛,L2,AI药物发现基础设施+Genomics plc合作,不明
美股,18,MDT,美敦力,~$108B,USD,器械,成熟,心律管理/GI Genius,$33.5B,$4.7B,"器械综合龙头,增长温和",L2,GI Genius AI结肠息肉检测(首个AI内镜),不明
